Platform,URL,Product_Name,SKU_Identifier,True_SKU_Identifier,Price,Limit_Price,Price_Status,Scrape_Date,Main_Image_URL
京东,https://item.jd.com/10101734415932.html,蓝调烟机+power5.0（液）,S2411211436001,10101734415932,Not Found,1199,抓取失败,2026-04-22 10:16:02,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\error_screenshots\fail_JD_10101734415932.png
京东,https://item.jd.com/10101734415932.html,蓝调烟机+power5.0（液）,S2411211436001,10101734415932,Not Found,1199,抓取失败,2026-04-22 10:16:51,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\error_screenshots\fail_JD_10101734415932.png
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=912927521784,小京龙2Pro净矿,6923185656791,912927521784,1273,2499,破价警报 | 百亿补贴,2026-04-22 10:17:21,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_912927521784.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=908884844099,管线机2S,6923185652526,908884844099,709,1699,破价警报,2026-04-22 10:17:21,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_908884844099.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=908879495872,smart 前置过滤器 （VF4-A）,6923185621058,908879495872,289,499,破价警报,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_908879495872.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=907974025123,小海豚1000G,6923185654865,907974025123,899,899,正常,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_907974025123.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=907033710117,云米昆仑3矿泉净水器2S Pro,6923185656593,907033710117,2998,2899,高价待调整,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_907033710117.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=873065157674,小海豚600G适用滤芯,6923185618379,873065157674,239,299,破价警报,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_873065157674.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=872941778883,1000G复合滤芯,6923185653998,872941778883,288,298,破价警报,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_872941778883.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=870799733097,油烟机 smart2,6923185653110,870799733097,1599,,正常,2026-04-22 10:17:22,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_870799733097.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=868834124642,云米AI油烟机Super升级,6923185605829,868834124642,1279,,正常,2026-04-22 10:17:23,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_868834124642.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=868851073714,小海豚3,6923185605867,868851073714,499,499,百亿补贴,2026-04-22 10:17:23,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_868851073714.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=862873034610,小海豚3,6923185605867,862873034610,618.8,499,高价待调整 | 百亿补贴,2026-04-22 10:17:27,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_862873034610.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=862584688956,门锁门禁卡,6923185654230,862584688956,25,19,高价待调整,2026-04-22 10:17:27,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_862584688956.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=861508688697,管线机2E,6923185650966,861508688697,989,1599,破价警报,2026-04-22 10:17:27,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_861508688697.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=852932116812,小海豚600G+滤芯套餐,S2508151538001,852932116812,772,,百亿补贴,2026-04-22 10:17:28,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_852932116812.jpg
拼多多,https://mobile.yangkeduo.com/goods.html?goods_id=852614628903,云米厨余垃圾处理器  PowerBox 尊享版,6923185610250,852614628903,889,,百亿补贴,2026-04-22 10:17:29,d:\WorkSpace\03_Dev_自动化开发\001全新开发价格爬虫架构\price_screenshots\2026-04-22_PDD_852614628903.jpg
