"店铺","时间","商品ID","商品名称","失败原因"
"云米拼多多专卖店_新店","2026/4/28 10:06:36","885690465484","小海豚600G+","平台红线拦截 - 建议优惠区间参考：90.40～894.96元"
"云米拼多多专卖店_新店","2026/4/28 10:07:43","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/4/28 10:09:42","925977908012","云米昆仑3矿泉净水器2S Pro","平台红线拦截 - 建议优惠区间参考：299.80～2968.02元"
"云米拼多多专卖店_新店","2026/4/29 11:10:09","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/4/29 11:10:29","925977908012","云米昆仑3矿泉净水器2S Pro","平台红线拦截 - 建议优惠区间参考：299.80～2968.02元"
"云米拼多多专卖店_新店","2026/4/30 16:06:36","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/4/30 16:06:56","925977908012","云米昆仑3矿泉净水器2S Pro","平台红线拦截 - 建议优惠区间参考：299.80～2968.02元"
"云米拼多多专卖店_新店","2026/5/5 10:22:57","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/5/6 10:53:46","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/5/7 13:49:33","530950162370","云米小海豚2 1000G净水器净水机管线机即热饮水机前置过滤器套装","[映射异常] 该系统商品绑定了多个抓取条码 (S2309051639001  S2309051641001)，存在乱价风险，停止调价。"
"云米拼多多专卖店_新店","2026/5/7 13:49:36","530950162370","云米小海豚2 1000G净水器净水机管线机即热饮水机前置过滤器套装","[映射异常] 该系统商品绑定了多个抓取条码 (S2309051639001  S2309051641001)，存在乱价风险，停止调价。"
"云米拼多多专卖店_新店","2026/5/7 13:49:39","874350558652","VIOMI云米滤芯 小海豚3适用","[映射异常] 该系统商品绑定了多个抓取条码 (6923185657347  6923185657361)，存在乱价风险，停止调价。"
"云米拼多多专卖店_新店","2026/5/7 13:49:41","874350558652","VIOMI云米滤芯 小海豚3适用","[映射异常] 该系统商品绑定了多个抓取条码 (6923185657347  6923185657361)，存在乱价风险，停止调价。"
"云米拼多多专卖店_新店","2026/5/7 13:52:53","920088070226","云米新品鲲鹏PRO油烟机28m³大吸力易清洁挥手智控烟灶联动小噪音","平台红线拦截 - 建议优惠区间参考：239.90～2375.01元"
"云米拼多多专卖店_新店","2026/5/7 13:53:11","925730122772","云米120°超广角猫眼全自动智能门锁电池家用客厅安全室内高清大屏","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多专卖店_新店","2026/5/7 13:53:34","916398420768","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185657347  6923185653998  6923185653622  6923185656821  69"
