"店铺","时间","商品ID","商品名称","失败原因"
"云米拼多多官方旗舰店","2026/4/27 16:42:14","220820325711","云米消毒柜（嵌入式）云米版","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:42:51","850344043841","云米AI净饮机Super 2","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:43:15","908879495872","smart 前置过滤器 （VF4-A）","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:44:23","861508688697","管线机2E","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:44:35","657344402006","云米油烟机蓝调","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:45:55","739863611562","云米AI油烟机 Smart 2 Pro","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:47:14","850883552953","云米·泉先AI净水器蓝调600G+","today is not defined"
"云米拼多多官方旗舰店","2026/4/27 16:53:00","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/4/27 16:57:08","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/4/27 16:59:39","739863611562","云米AI油烟机 Smart 2 Pro","平台红线拦截 - 建议优惠区间参考：149.90～1359.15元"
"云米拼多多官方旗舰店","2026/4/27 17:01:10","917031150770","云米·泉先AI净水器蓝调600G+","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:02:49","925230364669","蓝调智能门锁（3D人脸版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:03:28","209406625494","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:03:48","925730122772","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:04:58","925730329478","云米蓝调智能门锁（基础版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:05:18","767193647325","门锁掌静脉","平台红线拦截 - 建议优惠区间参考：149.90～1040.03元"
"云米拼多多官方旗舰店","2026/4/27 17:05:42","925731404024","门锁掌静脉","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:06:25","926574119933","昆仑4弱碱 1400G","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:06:48","916996455515","云米AI冷热管线机Super2 Pro","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:07:34","925737084752","门锁普通版E30","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:07:52","852010588191","蓝调2Pro-JSQ30-VGW1641","平台红线拦截 - 建议优惠区间参考：109.90～934.15元"
"云米拼多多官方旗舰店","2026/4/27 17:27:06","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/4/27 17:27:30","224216987554","复合滤芯","平台红线拦截 - 建议优惠区间参考：69.90～141.47元"
"云米拼多多官方旗舰店","2026/4/27 17:27:50","916398420768","复合滤芯","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:30:58","739863611562","云米AI油烟机 Smart 2 Pro","平台红线拦截 - 建议优惠区间参考：149.90～1359.15元"
"云米拼多多官方旗舰店","2026/4/27 17:31:43","917031150770","云米·泉先AI净水器蓝调600G+","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:32:28","882919216767","小白龙 800G+","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/27 17:46:53","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/4/27 17:47:10","852614628903","云米厨余垃圾处理器  PowerBox 尊享版","平台红线拦截 - 建议优惠区间参考：109.90～799.00元"
"云米拼多多官方旗舰店","2026/4/28 09:55:16","205451808289","小厨宝","平台红线拦截 - 建议优惠区间参考：35.90～254.15元"
"云米拼多多官方旗舰店","2026/4/28 09:55:48","224216987554","复合滤芯","平台红线拦截 - 建议优惠区间参考：69.90～141.47元"
"云米拼多多官方旗舰店","2026/4/28 09:58:52","739863611562","云米AI油烟机 Smart 2 Pro","平台红线拦截 - 建议优惠区间参考：149.90～1359.15元"
"云米拼多多官方旗舰店","2026/4/28 10:01:10","209406625494","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/28 10:01:51","767193647325","门锁掌静脉","平台红线拦截 - 建议优惠区间参考：149.90～1040.03元"
"云米拼多多官方旗舰店","2026/4/28 10:02:46","907033710117","云米昆仑3矿泉净水器2S Pro","平台红线拦截 - 建议优惠区间参考：299.80～2099.00元"
"云米拼多多官方旗舰店","2026/4/28 10:03:18","852010588191","蓝调2Pro-JSQ30-VGW1641","平台红线拦截 - 建议优惠区间参考：109.90～934.15元"
"云米拼多多官方旗舰店","2026/4/29 11:08:57","852161740747","小海豚600G+","page.waitForTimeout: Target page  context or browser has been closed"
"云米拼多多官方旗舰店","2026/4/30 15:59:37","868834124642","云米AI油烟机Super升级","平台红线拦截 - 建议优惠区间参考：169.90～1274.15元"
"云米拼多多官方旗舰店","2026/4/30 15:59:57","205451808289","小厨宝","平台红线拦截 - 建议优惠区间参考：35.90～254.15元"
"云米拼多多官方旗舰店","2026/4/30 16:00:40","739863611562","云米AI油烟机 Smart 2 Pro","平台红线拦截 - 建议优惠区间参考：149.90～1359.15元"
"云米拼多多官方旗舰店","2026/4/30 16:01:32","209406625494","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/4/30 16:01:50","767193647325","门锁掌静脉","平台红线拦截 - 建议优惠区间参考：149.90～1040.03元"
"云米拼多多官方旗舰店","2026/4/30 16:02:10","907033710117","云米昆仑3矿泉净水器2S Pro","平台红线拦截 - 建议优惠区间参考：299.80～2099.00元"
"云米拼多多官方旗舰店","2026/4/30 16:02:26","852010588191","蓝调2Pro-JSQ30-VGW1641","平台红线拦截 - 建议优惠区间参考：109.90～934.15元"
"云米拼多多官方旗舰店","2026/5/5 10:09:49","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/5/5 10:10:03","868834124642","云米AI油烟机Super升级","平台红线拦截 - 建议优惠区间参考：169.90～1599.00元"
"云米拼多多官方旗舰店","2026/5/5 10:10:18","205451808289","小厨宝","平台红线拦截 - 建议优惠区间参考：35.90～254.14元"
"云米拼多多官方旗舰店","2026/5/5 10:10:33","219486126363","flash烟机","平台红线拦截 - 建议优惠区间参考：139.90～799.00元"
"云米拼多多官方旗舰店","2026/5/5 10:11:22","908879495872","smart 前置过滤器 （VF4-A）","平台红线拦截 - 建议优惠区间参考：49.80～379.00元"
"云米拼多多官方旗舰店","2026/5/5 10:12:54","739863611562","云米AI油烟机 Smart 2 Pro","平台红线拦截 - 建议优惠区间参考：149.90～1484.01元"
"云米拼多多官方旗舰店","2026/5/5 10:15:38","413986425773","蓝调智能门锁（人脸猫眼版）","平台红线拦截 - 建议优惠区间参考：99.90～700.00元"
"云米拼多多官方旗舰店","2026/5/5 10:15:59","209406625494","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/5/6 10:39:42","763759392708","云米AI油烟机 鲲鹏Pro","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/5/6 10:39:57","868834124642","云米AI油烟机Super升级","平台红线拦截 - 建议优惠区间参考：169.90～1599.00元"
"云米拼多多官方旗舰店","2026/5/6 10:40:12","205451808289","小厨宝","平台红线拦截 - 建议优惠区间参考：35.90～254.14元"
"云米拼多多官方旗舰店","2026/5/6 10:45:00","908879495872","smart 前置过滤器 （VF4-A）","平台红线拦截 - 建议优惠区间参考：49.80～379.00元"
"云米拼多多官方旗舰店","2026/5/6 10:46:18","413986425773","蓝调智能门锁（人脸猫眼版）","平台红线拦截 - 建议优惠区间参考：99.90～700.00元"
"云米拼多多官方旗舰店","2026/5/6 10:46:38","209406625494","蓝调智能门锁（大屏猫眼版）","locator.waitFor: Timeout 10000ms exceeded. Call log: [2m  - waiting for getByTestId('beast-core-tab"
"云米拼多多官方旗舰店","2026/5/6 10:46:56","767193647325","门锁掌静脉","平台红线拦截 - 建议优惠区间参考：149.90～967.00元"
"云米拼多多官方旗舰店","2026/5/6 10:47:27","852010588191","蓝调2Pro-JSQ30-VGW1641","平台红线拦截 - 建议优惠区间参考：109.90～1088.01元"
"云米拼多多官方旗舰店","2026/5/7 13:38:48","573873753845","云米前置过滤器Super智能自动冲洗全屋前置净水器家用自来水冲洗","平台红线拦截 - 建议优惠区间参考：59.90～579.00元"
