"店铺","执行时间","商品ID","商品名称","改前线上价","修改后价格","调价依据"
"云米拼多多专卖店_新店","2026/4/28 10:04:45","917034829515","管线机2E","999","989.00","竞对极低价:989 | 设定的底线价:1599 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:06:20","917031150770","云米·泉先AI净水器蓝调600G+","649","649.00","竞对极低价:648 | 设定的底线价:999 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:07:06","925230364669","蓝调智能门锁（3D人脸版）","无活动/新上架","629.00","竞对极低价:629 | 设定的底线价:未设置 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:07:23","925231209174","蓝调智能门锁（人脸猫眼版）","无活动/新上架","709.00","竞对极低价:700 | 设定的底线价:未设置 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:08:05","925730329478","云米蓝调智能门锁（基础版）","无活动/新上架","499.00","竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:08:29","925731404024","门锁掌静脉","无活动/新上架","1069.00","竞对极低价:1067 | 设定的底线价:未设置 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:08:50","926574119933","昆仑4弱碱 1400G","无活动/新上架","2999.00","竞对极低价:2999 | 设定的底线价:3599 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/4/28 10:09:21","925737084752","门锁普通版E30","无活动/新上架","499.00","竞对极低价:499 | 设定的底线价:未设置 | 采用策略:conservative"
"云米拼多多专卖店_新店","2026/5/5 10:22:01","916452280972","900G","888","799.00","竞对极低价:799 | 设定的底线价:1499 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100223552856.html"
"云米拼多多专卖店_新店","2026/5/5 10:22:18","925230364669","蓝调智能门锁（3D人脸版）","629","629.00","竞对极低价:629.92 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10152123375420.html"
"云米拼多多专卖店_新店","2026/5/5 10:22:37","925231209174","蓝调智能门锁（人脸猫眼版）","709","709.00","竞对极低价:700 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10152130264576.html"
"云米拼多多专卖店_新店","2026/5/5 10:23:14","925730329478","云米蓝调智能门锁（基础版）","499","499.00","竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10154100555262.html"
"云米拼多多专卖店_新店","2026/5/5 10:23:31","926574119933","昆仑4弱碱 1400G","2999","2999.00","竞对极低价:2999 | 设定的底线价:3599 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10202290093822.html"
"云米拼多多专卖店_新店","2026/5/5 10:27:52","916996455515","云米AI冷热管线机Super2 Pro","1449","1289.00","竞对极低价:1282.43 | 设定的底线价:1999 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100216835595.html"
"云米拼多多专卖店_新店","2026/5/5 10:28:10","925737084752","门锁普通版E30","499","499.00","竞对极低价:499 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10196375716835.html"
"云米拼多多专卖店_新店","2026/5/6 10:51:38","917031150770","云米·泉先AI净水器蓝调600G+","649","649.00","竞对极低价:648 | 设定的底线价:999 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10105870187513.html"
"云米拼多多专卖店_新店","2026/5/6 10:53:18","916452280972","900G","799","799.00","竞对极低价:799 | 设定的底线价:1499 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100223552856.html"
"云米拼多多专卖店_新店","2026/5/6 10:54:04","925731404024","门锁掌静脉","1069","969.00","竞对极低价:967 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10192764613659.html"
"云米拼多多专卖店_新店","2026/5/7 13:50:00","916998985237","云米(VIOMI)净水机昆仑3 2E净矿1000G净水器 6年RO膜 接入米家","无活动/新上架","1549.00","竞对极低价:1545.63 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100135346870.html"
"云米拼多多专卖店_新店","2026/5/7 13:50:18","917001945930","云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器","999","1069.00","竞对极低价:1062.36 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100193748406.html"
"云米拼多多专卖店_新店","2026/5/7 13:52:19","917042534932","云米前置过滤器家用自来水前置净水器自动反冲洗全屋净水机大流量","无活动/新上架","449.00","竞对极低价:440.28 | 设定的底线价:499 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100013447067.html"
"云米拼多多专卖店_新店","2026/5/7 13:52:37","917044137245","云米前置过滤器家用自来水前置净水器自动反冲洗全屋净水机大流量","无活动/新上架","449.00","竞对极低价:440.28 | 设定的底线价:499 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100013447067.html"
"云米拼多多专卖店_新店","2026/5/7 13:53:29","926440536018","云米小厨宝6L电热水器厨房卫生间出水恒温储水式小型速热神器加热","无活动/新上架","299.00","竞对极低价:299 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100124625239.html"
"云米拼多多专卖店_新店","2026/5/7 13:55:50","942656610557","云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G","无活动/新上架","1359.00","竞对极低价:1359.15 | 设定的底线价:1899 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10137116625841.html"
"云米拼多多专卖店_新店","2026/5/7 13:56:12","942740482351","云米AI燃气热水器 智控恒温防冻节能安全水质净化精准控温13L强排","无活动/新上架","679.00","竞对极低价:679.15 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100167111601.html"
