店铺,执行时间,商品ID,商品名称,改前线上价,修改后价格,调价依据
云米拼多多官方旗舰店,2026/4/27 16:52,2.2082E+11,云米消毒柜（嵌入式）云米版,764.15,899,竞对极低价:899 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 16:56,2.2082E+11,云米消毒柜（嵌入式）云米版,764.15,899,竞对极低价:899 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 16:57,8.50344E+11,云米AI净饮机Super 2,1009,1009,竞对极低价:1002.76 | 设定的底线价:1699 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 16:58,9.08879E+11,smart 前置过滤器 （VF4-A）,289,289,竞对极低价:288.57 | 设定的底线价:499 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 16:58,8.61509E+11,管线机2E,989,989,竞对极低价:989.1 | 设定的底线价:1599 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 16:58,6.57344E+11,云米油烟机蓝调,859,859,竞对极低价:859 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:00,8.50884E+11,云米·泉先AI净水器蓝调600G+,649,649,竞对极低价:648 | 设定的底线价:999 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:01,8.49648E+11,云米AI昆仑矿泉净水机 Super 2E 2500,1459,1549,竞对极低价:1545.55 | 设定的底线价:2499 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:02,7.65112E+11,小鲸鱼 马桶盖,无活动/新上架,699,竞对极低价:698.4 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:02,2.59116E+11,蓝调智能门锁（3D人脸版）,699,629,竞对极低价:629.92 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:03,4.13986E+11,蓝调智能门锁（人脸猫眼版）,776.93,709,竞对极低价:700 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:04,7.43886E+11,云米蓝调智能门锁（基础版）,539,499,竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:04,2.73349E+11,云米蓝调智能门锁（基础版）,538.77,499,竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:06,7.74961E+11,蓝调2燃气热水器13L,无活动/新上架,679,竞对极低价:679.15 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:07,8.32432E+11,门锁普通版E30,499,569,竞对极低价:569.39 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:28,8.61509E+11,管线机2E,989,869,竞对极低价:869 | 设定的底线价:1599 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/27 17:32,8.52162E+11,小海豚600G+,857,559,竞对极低价:559 | 设定的底线价:559 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:54,7.63759E+11,云米AI油烟机 鲲鹏Pro,2115.65,1999,竞对极低价:1999 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:54,8.52615E+11,云米厨余垃圾处理器  PowerBox 尊享版,899,799,竞对极低价:799 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:55,2.19486E+11,flash烟机,899,899,竞对极低价:899 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:57,8.61509E+11,管线机2E,869,869,竞对极低价:869 | 设定的底线价:1599 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:57,3.6499E+11,即热1000G MAIN84,1359,1359,竞对极低价:1359.15 | 设定的底线价:1899 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:58,9.08885E+11,管线机2S,709,669,竞对极低价:669 | 设定的底线价:1699 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 9:59,8.52162E+11,小海豚600G+,559,559,竞对极低价:559 | 设定的底线价:559 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 10:00,7.61823E+11,云米智能马桶 小鲸鱼 2 Pro,2399,2399,竞对极低价:2398.7 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 10:01,7.43886E+11,云米蓝调智能门锁（基础版）,499,499,竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 10:02,8.37301E+11,云米AI冷热管线机Super2 Pro,1449,1449,竞对极低价:1448.68 | 设定的底线价:1999 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 10:02,8.32432E+11,门锁普通版E30,569,499,竞对极低价:499 | 设定的底线价:未设置 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/28 10:03,9.12928E+11,小京龙2Pro净矿,无活动/新上架,1999,竞对极低价:1990.06 | 设定的底线价:2499 | 采用策略:conservative
云米拼多多官方旗舰店,2026/4/30 16:00,8.52162E+11,小海豚600G+,559,559,竞对极低价:559 | 设定的底线价:559 | 采用策略:conservative | 跟价平台:拼多多2 | 跟价目标:https://mobile.yangkeduo.com/goods.html?goods_id=885690465484
云米拼多多官方旗舰店,2026/5/5 10:11,8.50344E+11,云米AI净饮机Super 2,1009,1039,竞对极低价:1037.34 | 设定的底线价:1699 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10190216497508.html
云米拼多多官方旗舰店,2026/5/5 10:11,6.57344E+11,云米油烟机蓝调,859,859,竞对极低价:859 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10101734415931.html
云米拼多多官方旗舰店,2026/5/5 10:11,3.6499E+11,即热1000G MAIN84,1359,1359,竞对极低价:1359.15 | 设定的底线价:1899 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10137116625841.html
云米拼多多官方旗舰店,2026/5/5 10:12,9.08885E+11,管线机2S,669,709,竞对极低价:705.48 | 设定的底线价:1699 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100094220985.html
云米拼多多官方旗舰店,2026/5/5 10:14,8.49E+11,云米AI净水器Super 2Y 1200G,1189,1149,竞对极低价:1141.55 | 设定的底线价:1899 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10109665694149.html
云米拼多多官方旗舰店,2026/5/5 10:14,8.49648E+11,云米AI昆仑矿泉净水机 Super 2E 2500,1549,1519,竞对极低价:1513.99 | 设定的底线价:2499 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10114588738475.html
云米拼多多官方旗舰店,2026/5/5 10:14,7.61823E+11,云米智能马桶 小鲸鱼 2 Pro,2399,3229,竞对极低价:3229.15 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10130854696036.html
云米拼多多官方旗舰店,2026/5/5 10:15,2.59116E+11,蓝调智能门锁（3D人脸版）,629,629,竞对极低价:629.92 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10152123375420.html
云米拼多多官方旗舰店,2026/5/5 10:16,2.73349E+11,云米蓝调智能门锁（基础版）,499,499,竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10154100555262.html
云米拼多多官方旗舰店,2026/5/5 10:16,7.43886E+11,云米蓝调智能门锁（基础版）,499,499,竞对极低价:493.88 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10154100555262.html
云米拼多多官方旗舰店,2026/5/5 10:17,7.74961E+11,蓝调2燃气热水器13L,679,679,竞对极低价:679.15 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100167111601.html
云米拼多多官方旗舰店,2026/5/5 10:17,8.37301E+11,云米AI冷热管线机Super2 Pro,1449,1289,竞对极低价:1282.43 | 设定的底线价:1999 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/100216835595.html
云米拼多多官方旗舰店,2026/5/5 10:17,8.32432E+11,门锁普通版E30,499,499,竞对极低价:499 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10196375716835.html
云米拼多多官方旗舰店,2026/5/6 10:39,2.2082E+11,云米消毒柜（嵌入式）云米版,899,899,竞对极低价:899 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10091941834784.html
云米拼多多官方旗舰店,2026/5/6 10:40,2.19486E+11,flash烟机,899,899,竞对极低价:899 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10089284956258.html
云米拼多多官方旗舰店,2026/5/6 10:45,8.50884E+11,云米·泉先AI净水器蓝调600G+,649,649,竞对极低价:648 | 设定的底线价:999 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10105870187513.html
"云米拼多多官方旗舰店","2026/5/7 13:44:24","765112154467","云米智能小鲸鱼马桶盖全自动即热恒温带烘干坐垫圈抗菌除臭自清洗","699","699.00","竞对极低价:698.4 | 设定的底线价:未设置 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10114364850989.html"
"云米拼多多官方旗舰店","2026/5/7 13:46:55","861508688697","Viomi云米制冷管线机壁挂式 直饮机 饮水机 UV全水路杀菌速热制冷","869","989.00","竞对极低价:989.1 | 设定的底线价:1599 | 采用策略:conservative | 跟价平台:京东 | 跟价目标:https://item.jd.com/10143719582452.html"
