69码/系统编码,产品名称,5月总销量,W1销量(30%),W2销量(20%),W3销量(20%),W4销量(30%),W1销售额,W2销售额,W3销售额,W4销售额,W1推广费,W2推广费,W3推广费,W4推广费
6923185653684,小海豚 600G+,1200,360,240,240,360," 214,200 "," 142,800 "," 142,800 "," 214,200 "," 13,923 "," 9,282 "," 9,282 "," 13,923 "
6923185605867,极致小海豚3,500,150,100,100,150," 80,535 "," 53,690 "," 53,690 "," 80,535 "," 5,235 "," 3,490 "," 3,490 "," 5,235 "
S2508151538001,小海豚 600G+-套装,240,72,48,48,72," 55,102 "," 36,734 "," 36,734 "," 55,102 "," 3,582 "," 2,388 "," 2,388 "," 3,582 "
6923185655688,燃气热水器蓝调2 13L,70,21,14,14,21," 12,147 "," 8,098 "," 8,098 "," 12,147 ", 790 , 526 , 526 , 790 
6923185655220,小京龙Pro 1100G,47,14,9,9,15," 11,019 "," 7,346 "," 7,346 "," 11,019 ", 716 , 478 , 478 , 716 
S2512250944002,极致小海豚3-套装,50,15,10,10,15," 9,062 "," 6,041 "," 6,041 "," 9,062 ", 589 , 393 , 393 , 589 
6923185651116,即热 Super Pro 1000G,20,6,4,4,6," 9,052 "," 6,034 "," 6,034 "," 9,052 ", 588 , 392 , 392 , 588 
6923185611233,小厨宝6L,130,39,26,26,39," 8,930 "," 5,953 "," 5,953 "," 8,930 ", 580 , 387 , 387 , 580 
6923185627425,复合滤芯5in1-商品滤芯,160,48,32,32,48," 8,686 "," 5,790 "," 5,790 "," 8,686 ", 565 , 376 , 376 , 565 
6923185650973,油烟机蓝调,35,10,7,7,11," 8,605 "," 5,737 "," 5,737 "," 8,605 ", 559 , 373 , 373 , 559 
6923185610250,垃圾处理器 PowerBox-清退,23,7,5,5,6," 5,356 "," 3,571 "," 3,571 "," 5,356 ", 348 , 232 , 232 , 348 
6923185654865,小海豚2 1000G,20,6,4,4,6," 5,343 "," 3,562 "," 3,562 "," 5,343 ", 347 , 232 , 232 , 347 
S2512250943001,极致小海豚3-套装,25,8,5,5,7," 5,240 "," 3,493 "," 3,493 "," 5,240 ", 341 , 227 , 227 , 341 
6923185649076,电热水器 小蓝调50L,26,8,5,5,8," 4,179 "," 2,786 "," 2,786 "," 4,179 ", 272 , 181 , 181 , 272 
S2412282008001,小海豚 600G+-套装,21,6,4,4,7," 4,011 "," 2,674 "," 2,674 "," 4,011 ", 261 , 174 , 174 , 261 
6923185602224,电热水器1A(60L),20,6,4,4,6," 3,919 "," 2,613 "," 2,613 "," 3,919 ", 255 , 170 , 170 , 255 
S2309261029001,蓝调烟机+5.2灶套餐,10,3,2,2,3," 3,364 "," 2,242 "," 2,242 "," 3,364 ", 219 , 146 , 146 , 219 
6923185652526,管线机Master2S,17,5,3,3,6," 3,318 "," 2,212 "," 2,212 "," 3,318 ", 216 , 144 , 144 , 216 
6923185613664,油烟机Flash-清退,13,4,3,3,3," 3,302 "," 2,201 "," 2,201 "," 3,302 ", 215 , 143 , 143 , 215 
6923185654292,小京龙 900G,15,4,3,3,5," 3,193 "," 2,129 "," 2,129 "," 3,193 ", 208 , 138 , 138 , 208 
6923185614920,电热水器X1（50L）,23,7,5,5,6," 3,192 "," 2,128 "," 2,128 "," 3,192 ", 207 , 138 , 138 , 207 
6923185653592,蓝调 600G+,18,5,4,4,5," 3,173 "," 2,115 "," 2,115 "," 3,173 ", 206 , 138 , 138 , 206 
6923185615415,昆仑3 台净,10,3,2,2,3," 2,874 "," 1,916 "," 1,916 "," 2,874 ", 187 , 125 , 125 , 187 
6923185649083,电热水器 小蓝调60L,20,6,4,4,6," 2,795 "," 1,863 "," 1,863 "," 2,795 ", 182 , 121 , 121 , 182 
6923185653974,小白龙 800G+,11,3,2,2,4," 2,120 "," 1,413 "," 1,413 "," 2,120 ", 138 , 92 , 92 , 138 
6923185655381,蓝调门锁（基础版）,12,4,2,2,4," 2,021 "," 1,348 "," 1,348 "," 2,021 ", 131 , 88 , 88 , 131 
6923185657347,极致小海豚3+五合一滤芯,52,16,10,10,16," 2,012 "," 1,342 "," 1,342 "," 2,012 ", 131 , 87 , 87 , 131 
6923185681281,电热水器小海豚40L,10,3,2,2,3," 1,185 ", 790 , 790 ," 1,185 ", 77 , 51 , 51 , 77 
6923185655565,VIOMI云米 复合滤芯五合一,18,5,4,4,5," 1,160 ", 773 , 773 ," 1,160 ", 75 , 50 , 50 , 75 
6923185614258,净水器Q55in1复合滤芯,15,4,3,3,5, 912 , 608 , 608 , 912 , 59 , 40 , 40 , 59 
